provinsi,tahun,jumlah,province,A,B,C,total,convertion_rate,islam,usia_potensial,total_pekerja,aquisition_rate,aquisition_rate_by_age,aquisition_rate_by_occupation
kepulauan bangka belitung,2023,4640,kepulauan bangka belitung,,,2.0,2.0,2320.0,1356616,822265,670808,0.003420275155239213,0.005642949657348908,0.006917031400937377
kepulauan riau,2022,4786,kepulauan riau,2.0,4.0,,6.0,797.6666666666666,1685033,1247877,877281,0.00284030045702369,0.0038353138971228733,0.00545549259587293
kepulauan riau,2023,6723,kepulauan riau,2.0,4.0,,6.0,1120.5,1685033,1247877,877281,0.003989832840069008,0.005387550215285641,0.007663451049321711
lampung,2022,14306,lampung,4.0,6.0,,10.0,1430.6,8650839,4154884,3795172,0.0016537124318230867,0.0034431767529490595,0.0037695261242441714
lampung,2023,20367,lampung,4.0,6.0,,10.0,2036.7,8650839,4154884,3795172,0.0023543381168000008,0.004901941907403432,0.005366555191701456
maluku,2022,969,,,,,,,1001623,935491,426927,0.0009674298613350532,0.001035819692546481,0.002269708872945492
maluku,2023,1180,,,,,,,1001623,935491,426927,0.0011780879632356685,0.00126136969783782,0.0027639385656095775
maluku utara,2022,1843,,,,,,,1012291,662745,523866,0.0018206227260738265,0.002780858399535266,0.003518075232979426
maluku utara,2023,3368,,,,,,,1012291,662745,523866,0.003327106533595577,0.0050818942428837634,0.006429125005249434
nusa tenggara barat,2022,14574,nusa tenggara barat,4.0,6.0,,10.0,1457.4,5403441,3274194,1448893,0.0026971701921053638,0.004451171799838372,0.010058713790459337
nusa tenggara barat,2023,18479,nusa tenggara barat,4.0,6.0,,10.0,1847.9,5403441,3274194,1448893,0.003419857827632429,0.005643831733855721,0.012753874854802942
nusa tenggara timur,2022,595,,,,,,,526053,3077322,2521050,0.001131064740624994,0.00019334993218129268,0.00023601277245592116
nusa tenggara timur,2023,804,,,,,,,526053,3077322,2521050,0.0015283631117016727,0.00026126612684665434,0.0003189147379068245
papua,2022,1693,,,,,,,318873,567031,506207,0.005309323774668912,0.002985727411728812,0.0033444816053511705
papua,2023,2974,,,,,,,318873,567031,506207,0.009326597109193943,0.005244863155629939,0.005875066919264253
papua barat,2022,1465,,,,,,,214597,285462,185583,0.006826749674972157,0.005132031583888573,0.007894042018934923
papua barat,2023,1682,,,,,,,214597,285462,185583,0.007837947408398067,0.00589220281508572,0.009063330154162828
riau,2022,24947,riau,6.0,12.0,3.0,21.0,1187.952380952381,5914648,3386905,2390828,0.00421783341967265,0.0073657218020582215,0.010434460362686065
riau,2023,32801,riau,6.0,12.0,3.0,21.0,1561.952380952381,5914648,3386905,2390828,0.0055457230929042605,0.009684653097739677,0.013719514745519126
sulawesi barat,2022,2876,,,,,,,1223635,607367,671240,0.0023503740903128793,0.004735193054611133,0.004284607591919433
sulawesi barat,2023,3891,,,,,,,1223635,607367,671240,0.0031798698141194065,0.006406340812062559,0.005796734402002264
sulawesi selatan,2022,51872,sulawesi selatan,52.0,28.0,22.0,102.0,508.54901960784315,8411592,4231376,4824896,0.00616672801058349,0.012258896396822216,0.010750905304487392
sulawesi selatan,2023,71045,sulawesi selatan,52.0,28.0,22.0,102.0,696.5196078431372,8411592,4231376,4824896,0.008446082501386183,0.01679004654750606,0.014724669713088116
sulawesi tengah,2022,4796,sulawesi tengah,1.0,2.0,,3.0,1598.6666666666667,2471337,1553983,1541191,0.0019406499396885167,0.003086262848435279,0.003111879059766116
sulawesi tengah,2023,7591,sulawesi tengah,1.0,2.0,,3.0,2530.3333333333335,2471337,1553983,1541191,0.003071616699786391,0.004884866822867432,0.004925411581043491
sulawesi tenggara,2022,7405,sulawesi tenggara,1.0,2.0,,3.0,2468.3333333333335,2612058,1296875,1068172,0.0028349293928389033,0.005709879518072289,0.006932404144650861
sulawesi tenggara,2023,12039,sulawesi tenggara,1.0,2.0,,3.0,4013.0,2612058,1296875,1068172,0.00460900944772283,0.009283084337349397,0.011270656785611306
sulawesi utara,2022,1037,,,,,,,85251,1341505,915069,0.012164080186742678,0.0007730124002519558,0.0011332478752968354
sulawesi utara,2023,1540,,,,,,,85251,1341505,915069,0.018064304231035413,0.0011479644131031938,0.0016829331995729285
sumatera barat,2022,17131,sumatera barat,7.0,6.0,3.0,16.0,1070.6875,5563810,3321652,2957774,0.00307900521405296,0.005157373499692322,0.005791855631971881
sumatera barat,2023,24777,sumatera barat,7.0,6.0,3.0,16.0,1548.5625,5563810,3321652,2957774,0.004453243370999369,0.0074592401612209825,0.008376907769153424
sumatera selatan,2022,27752,sumatera selatan,10.0,17.0,,27.0,1027.851851851852,8566263,4833469,3349226,0.0032396857299384807,0.00574163194177929,0.008286093563109805
sumatera selatan,2023,39311,sumatera selatan,10.0,17.0,,27.0,1455.962962962963,8566263,4833469,3349226,0.004589048923667181,0.008133082057627762,0.011737338716467626
sumatera utara,2022,26851,sumatera utara,22.0,18.0,5.0,45.0,596.6888888888889,10271527,8801246,7597722,0.002614119594876205,0.003050818031901392,0.0035340856114503797
sumatera utara,2023,41705,sumatera utara,22.0,18.0,5.0,45.0,926.7777777777778,10271527,8801246,7597722,0.004060253163916135,0.00473853361217264,0.005489145299077802
